SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Gujarat Region,2000,0,0.1,0,0,36.1,62.9,301.1,133,13.5,0.2,0,3.6,550.6,0.1,36.1,510.6,3.9
Gujarat Region,2001,6.1,0,0,0.2,2.1,216.9,320,256.8,17.8,28.9,0.2,0,849,6.1,2.3,811.5,29
Gujarat Region,2002,4.1,0,0.1,0,0,234.2,45.8,238.5,113.7,0.6,0.1,0.1,637.2,4.1,0.1,632.2,0.8
Gujarat Region,2003,0,6.1,0.1,0,0,209.3,518.7,314.6,109.5,1.9,0,0,1160.3,6.1,0.1,1152.2,1.9
Gujarat Region,2004,0,0,0,0,4.4,135.5,238.2,553.7,51.8,22.2,0,0,1005.8,0,4.4,979.1,22.3
Gujarat Region,2005,0,0,0,0,0.3,367.3,378.7,229.4,339.2,1.4,0,0,1316.4,0,0.3,1314.7,1.4
Gujarat Region,2006,0,0,0.8,0,0.2,123.5,576,624.8,140.6,9.2,2.9,0,1478,0,1.1,1464.9,12.1
Gujarat Region,2007,0.1,0.4,0,0,0.3,94,567.8,345.6,169.4,0,1.4,0,1178.9,0.5,0.3,1176.7,1.4
Gujarat Region,2008,0,0,0,3.1,0.1,58.2,261.9,369.5,204.3,11.6,0.1,2.3,911.1,0,3.3,893.9,14
Gujarat Region,2009,0,0,0.3,0,0,17,390.3,143.5,54.9,27.4,8.1,0,641.6,0,0.3,605.7,35.5
Gujarat Region,2010,0.2,0,0,0,0,59.3,328.2,431,216.6,12.2,41,0.2,1088.7,0.2,0,1035,53.4
Gujarat Region,2011,0,0.2,0,0,0,16.3,259.2,451.7,162.5,0.4,0,0,890.5,0.2,0,889.8,0.4
Gujarat Region,2012,0.1,0,0,0,0,34.4,178.2,230.3,263.8,7.1,0,0,714,0.1,0,706.7,7.1
Gujarat Region,2013,0,0.9,0.1,4.6,0,155.7,405.4,211.1,287.3,53.2,0.1,0,1118.6,0.9,4.7,1059.6,53.3
Gujarat Region,2014,5.7,0.1,0.2,1,1.3,11.6,307.5,138.6,235.1,3.3,1.3,0,705.7,5.8,2.5,692.8,4.6
